Year,playerId,season,Name,Team,position,Situation,GP,TOI,XGA,GA,UnblockedSA,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,Year,NameYear,Votes
2008,8464999,2008,Mathieu Garon,PIT,G,5on5,19,46669,30.72,30,694,23.44,28,87.95,76,374.32,359,12.7,19,203.37,166,160.47,210,29.98,399,91,29,12.21,10.67,7.84,9,12,9,175,0,0,2008,Mathieu Garon2008,0
2008,8464999,2008,Mathieu Garon,PIT,G,4on5,19,6089,13.71,20,183,9.45,11,21.8,15,105.63,106,0.32,0,66.18,55,35.3,47,13.1,111,20,19,2.4,2.41,8.9,3,3,14,33,0,0,2008,Mathieu Garon2008,0
2008,8464999,2008,Mathieu Garon,PIT,G,5on4,19,6878,2,2,23,0.79,1,2.19,2,15.73,14,2.62,6,4.47,2,11.05,14,1.95,12,6,3,0.31,0.68,1.01,0,0,2,2,0,0,2008,Mathieu Garon2008,0
2008,8469608,2008,Mike Smith,T.B,G,other,41,6092,12.83,11,195,8.09,10,24.59,34,113.58,124,2.36,3,65.19,55,45.79,52,12.25,109,45,11,3.71,5.46,3.66,4,3,4,30,19,4,2008,Mike Smith2008,0
2008,8469608,2008,Mike Smith,T.B,G,all,41,147981,105.61,108,2244,83.69,75,274.76,303,1228.93,1282,37.4,34,691.45,541,531.69,673,102.39,1345,291,96,37.22,34.93,33.47,41,31,36,512,23,6,2008,Mike Smith2008,0
2008,8469608,2008,Mike Smith,T.B,G,5on5,41,108136,61.73,60,1527,52.66,48,195.87,206,827.67,870,26.6,27,460.01,352,362.34,471,60.06,924,186,50,26.93,22.06,12.74,35,16,9,367,2,1,2008,Mike Smith2008,0
2008,8469608,2008,Mike Smith,T.B,G,4on5,41,17969,26.54,33,451,20.59,17,47.91,55,238.8,235,0.72,0,151.12,117,86.27,112,25.57,262,48,30,5.09,5.85,15.6,2,11,20,111,0,0,2008,Mike Smith2008,0
2008,8469608,2008,Mike Smith,T.B,G,5on4,41,15784,4.37,4,66,2.18,0,5.57,7,45.23,49,7.64,4,13.36,14,35.32,37,4.36,45,12,5,1.34,1.55,1.48,0,1,3,4,2,1,2008,Mike Smith2008,0
2008,8474202,2008,John Curry,PIT,G,other,3,575,0.39,1,10,0.29,1,1,1,4.46,3,0.29,0,2.18,0,1.99,3,0.37,3,3,0,0.08,0.31,0,1,0,0,4,0,0,2008,John Curry2008,0
2008,8474202,2008,John Curry,PIT,G,all,3,8985,6.87,6,133,4.83,7,14.56,11,69.23,69,2.56,2,37.54,30,30.02,37,6.69,69,21,6,1.96,2.41,2.5,1,2,3,37,0,0,2008,John Curry2008,0
2008,8474202,2008,John Curry,PIT,G,5on5,3,6290,3.86,3,98,3.32,3,11.04,9,50.1,53,1.58,1,28.01,27,21.29,25,3.73,55,11,3,1.6,1.41,0.85,0,1,2,29,0,0,2008,John Curry2008,0
2008,8474202,2008,John Curry,PIT,G,4on5,3,821,2.19,2,16,0.91,3,1.77,1,9.88,9,0.1,0,5.6,2,3.13,5,2.16,7,4,3,0.19,0.35,1.65,0,1,1,2,0,0,2008,John Curry2008,0
2008,8474202,2008,John Curry,PIT,G,5on4,3,1299,0.42,0,9,0.3,0,0.74,0,4.79,4,0.58,1,1.75,1,3.61,4,0.42,4,3,0,0.09,0.34,0,0,0,0,2,0,0,2008,John Curry2008,0
2008,8474771,2008,Peter Mannino,NYI,G,other,3,410,1.79,1,17,1.27,2,2.05,0,11.64,13,0.02,0,8.09,11,2.34,2,1.57,6,9,1,0.27,1.18,0.34,0,1,0,1,0,0,2008,Peter Mannino2008,0
2008,8474771,2008,Peter Mannino,NYI,G,all,3,7973,9.72,10,161,6.95,7,18.58,15,87.62,87,1.54,1,49.79,46,31.23,41,9.27,70,41,9,2.23,5.1,2.39,2,6,2,41,0,0,2008,Peter Mannino2008,0
2008,8474771,2008,Peter Mannino,NYI,G,5on5,3,6184,6.2,6,115,4.35,4,13.79,13,61.08,61,1.28,1,32.18,28,23.7,31,6,56,20,7,1.65,2.76,1.8,1,3,2,32,0,0,2008,Peter Mannino2008,0
2008,8474771,2008,Peter Mannino,NYI,G,4on5,3,725,1.58,3,28,1.3,1,2.67,2,14.24,12,0,0,9.29,7,4.72,7,1.54,8,11,1,0.32,1.02,0.25,1,2,0,8,0,0,2008,Peter Mannino2008,0
2008,8474771,2008,Peter Mannino,NYI,G,5on4,3,654,0.15,0,1,0.04,0,0.08,0,0.66,1,0.24,0,0.24,0,0.47,1,0.15,0,1,0,0,0.15,0,0,0,0,0,0,0,2008,Peter Mannino2008,0
2008,8471679,2008,Carey Price,MTL,G,other,52,8396,12.47,10,212,7.4,11,20.88,23,104.73,114,2.84,4,59.1,56,42.45,56,11.75,104,44,9,3.87,5.72,2.88,5,3,2,55,0,0,2008,Carey Price2008,2
2008,8471679,2008,Carey Price,MTL,G,all,52,180336,135.94,143,2840,101.03,113,333.95,326,1468.55,1513,45.39,54,803.69,638,613.03,822,130.36,1570,370,137,45.83,45.34,44.77,44,45,54,763,4,2,2008,Carey Price2008,2
2008,8471679,2008,Carey Price,MTL,G,5on5,52,132735,83.99,86,2012,67.13,62,251.71,260,1056.48,1096,31.96,41,569.93,447,447.3,592,81.74,1144,255,75,33.24,30.75,19.99,31,29,26,538,4,2,2008,Carey Price2008,2
2008,8471679,2008,Carey Price,MTL,G,4on5,52,19310,35.06,42,532,24.42,39,55.5,40,263.11,253,1.02,0,161.43,125,86,127,32.46,269,61,49,7.11,7.39,20.56,6,11,25,153,0,0,2008,Carey Price2008,2
2008,8471679,2008,Carey Price,MTL,G,5on4,52,19895,4.23,5,80,2.01,1,5.55,3,42.91,48,9.39,9,12.58,9,36.6,46,4.23,52,9,4,1.55,1.34,1.34,2,2,1,15,0,0,2008,Carey Price2008,2
2008,8460712,2008,Tomas Vokoun,FLA,G,other,59,4571,8.42,5,149,5.85,3,14.18,16,74.06,85,1.75,3,46.39,50,27.09,34,7.9,74,28,8,2.61,3.21,2.6,2,3,0,39,0,0,2008,Tomas Vokoun2008,0
2008,8460712,2008,Tomas Vokoun,FLA,G,all,59,199209,155.41,138,3278,126.28,142,412.17,471,1814.49,1856,51.7,63,1030.63,775,760.78,965,148.65,1992,432,132,57.43,51.06,46.91,46,49,43,722,2,1,2008,Tomas Vokoun2008,0
2008,8460712,2008,Tomas Vokoun,FLA,G,5on5,59,156866,108.7,93,2501,90.7,99,330.66,390,1401.46,1445,39.42,51,781.67,563,604.39,770,104.69,1558,324,83,46.21,38.49,24,35,37,21,536,2,1,2008,Tomas Vokoun2008,0
2008,8460712,2008,Tomas Vokoun,FLA,G,4on5,59,18273,34.49,35,546,27.57,38,60.64,58,296.16,286,0.92,0,186.92,152,97.78,123,32.36,315,66,38,7.23,7.73,19.53,6,8,21,127,0,0,2008,Tomas Vokoun2008,0
2008,8460712,2008,Tomas Vokoun,FLA,G,5on4,59,19499,2.8,4,56,1.28,2,3.52,3,28.38,28,9.31,9,8.64,3,23.94,29,2.71,28,10,3,0.83,1.19,0.78,2,1,1,15,0,0,2008,Tomas Vokoun2008,0
2008,8460704,2008,Johan Hedberg,ATL,G,other,33,3897,7.63,11,97,4.08,5,11.54,10,52.6,56,1.63,0,28.65,27,19.61,24,6.83,50,16,12,1.77,1.78,4.07,5,2,4,19,0,0,2008,Johan Hedberg2008,0
2008,8460704,2008,Johan Hedberg,ATL,G,all,33,109922,87.14,106,1740,64.35,54,205.13,206,926.8,937,26.2,14,523.11,437,389.08,474,83.96,947,275,82,28.83,31.77,26.55,36,34,36,436,2,1,2008,Johan Hedberg2008,0
2008,8460704,2008,Johan Hedberg,ATL,G,5on5,33,81747,53.15,58,1229,42.53,38,152.37,152,659.95,665,19.09,10,366.56,298,287.42,357,51.94,702,179,42,20.74,20.97,11.44,21,19,18,306,2,1,2008,Johan Hedberg2008,0
2008,8460704,2008,Johan Hedberg,ATL,G,4on5,33,12407,23.86,33,367,16.43,11,38.09,44,188.9,194,0.9,1,119.7,107,62.89,67,22.68,171,70,27,5.31,7.79,10.76,10,9,14,99,0,0,2008,Johan Hedberg2008,0
2008,8460704,2008,Johan Hedberg,ATL,G,5on4,33,11871,2.52,4,47,1.31,0,3.13,0,25.34,22,4.59,3,8.2,5,19.16,26,2.52,24,10,1,1.02,1.22,0.27,0,4,0,12,0,0,2008,Johan Hedberg2008,0
2008,8467511,2008,Antero Niittymaki,PHI,G,other,32,5967,8.49,10,144,5.01,5,16.94,27,77.24,88,2.42,2,42.03,38,33.35,33,8.19,86,19,9,2.69,2.43,3.38,4,2,4,30,0,0,2008,Antero Niittymaki2008,0
2008,8467511,2008,Antero Niittymaki,PHI,G,all,32,108255,84.09,83,1761,65.17,75,213.77,205,936.34,947,28.2,19,526.14,434,391.38,496,80.91,1022,211,87,30.27,25.32,28.51,33,25,25,441,2,1,2008,Antero Niittymaki2008,0
2008,8467511,2008,Antero Niittymaki,PHI,G,5on5,32,78217,49.6,45,1184,39.64,48,146.7,134,617.11,608,20.07,14,338.76,283,263.66,334,48.22,681,130,49,19.32,15.71,14.57,17,16,12,324,2,1,2008,Antero Niittymaki2008,0
2008,8467511,2008,Antero Niittymaki,PHI,G,4on5,32,13696,22.99,28,387,19.01,20,46.31,42,214.13,219,0.96,0,135.97,105,71.86,99,21.52,226,53,25,7.27,6.19,9.52,12,7,9,83,0,0,2008,Antero Niittymaki2008,0
2008,8467511,2008,Antero Niittymaki,PHI,G,5on4,32,10375,2.55,0,40,1.16,2,2.95,2,23.94,28,4.71,3,7.21,4,20.51,28,2.55,25,8,3,0.86,0.86,0.82,0,0,0,4,0,0,2008,Antero Niittymaki2008,0
2008,8459308,2008,Manny Legace,STL,G,other,29,2562,4,6,66,1.64,3,6.12,9,28.29,39,1.37,0,14.82,11,12.25,19,3.95,42,5,3,1.7,0.65,1.65,3,2,1,16,0,0,2008,Manny Legace2008,0
2008,8459308,2008,Manny Legace,STL,G,all,29,86839,54.64,77,1253,38.1,41,138.55,136,595.51,669,20.52,27,338.16,295,259.18,360,53.22,771,118,47,23.04,14.21,17.4,37,15,25,317,0,0,2008,Manny Legace2008,0
2008,8459308,2008,Manny Legace,STL,G,5on5,29,65257,35.08,53,913,26.69,26,106.86,107,445.61,500,14.74,20,251.35,215,199.3,267,34.31,576,87,25,17.55,10.52,7,32,10,11,225,0,0,2008,Manny Legace2008,0
2008,8459308,2008,Manny Legace,STL,G,4on5,29,9831,14.01,15,247,9.11,11,23.55,20,106.05,112,0.47,0,67.23,64,35.93,60,13.42,134,24,17,3.21,2.74,8.06,1,3,11,72,0,0,2008,Manny Legace2008,0
2008,8459308,2008,Manny Legace,STL,G,5on4,29,9189,1.56,3,27,0.67,1,2.01,0,15.56,18,3.94,7,4.76,5,11.71,14,1.55,19,2,2,0.57,0.3,0.69,1,0,2,4,0,0,2008,Manny Legace2008,0
2008,8471219,2008,Al Montoya,ARI,G,other,5,707,0.48,1,10,0.31,0,1.02,0,5.03,4,0.18,0,2.83,1,2.19,5,0.47,4,3,0,0.16,0.32,0,0,1,0,3,0,0,2008,Al Montoya2008,0
2008,8471219,2008,Al Montoya,ARI,G,all,5,15568,10.52,9,243,8.12,5,26.46,24,118.49,120,3.81,0,69.37,62,50.82,66,9.89,129,32,9,3.98,3.74,2.79,0,6,3,73,0,0,2008,Al Montoya2008,0
2008,8471219,2008,Al Montoya,ARI,G,5on5,5,11416,7.67,7,182,5.96,4,20.77,21,90.99,97,2.93,0,52.14,43,40.63,52,7.16,104,19,8,2.88,2.3,2.48,0,4,3,51,0,0,2008,Al Montoya2008,0
2008,8471219,2008,Al Montoya,ARI,G,4on5,5,1456,2.32,1,46,1.81,1,4.54,3,20.94,19,0.05,0,13.98,18,6.67,7,2.21,19,10,1,0.89,1.12,0.31,0,1,0,16,0,0,2008,Al Montoya2008,0
2008,8471219,2008,Al Montoya,ARI,G,5on4,5,1989,0.04,0,5,0.04,0,0.14,0,1.53,0,0.65,0,0.42,0,1.33,2,0.04,2,0,0,0.04,0,0,0,0,0,3,0,0,2008,Al Montoya2008,0
2008,8470860,2008,Jaroslav Halak,MTL,G,other,34,4542,9.53,9,130,5.27,6,12.24,11,64.62,64,2.12,3,34.61,34,23.42,29,9.09,46,33,11,1.65,4.16,3.73,4,2,3,40,0,0,2008,Jaroslav Halak2008,0
2008,8470860,2008,Jaroslav Halak,MTL,G,all,34,115848,101.02,92,2057,74.37,70,243.35,253,1090.51,1077,29.38,25,595.62,508,454.91,556,96.83,1145,265,100,32.93,32.64,35.44,28,32,32,547,0,0,2008,Jaroslav Halak2008,0
2008,8470860,2008,Jaroslav Halak,MTL,G,5on5,34,87086,66.97,62,1539,53.11,47,190.65,204,822.98,812,20.75,20,449.29,374,352.37,430,64.72,886,197,58,26.25,24.13,16.59,22,27,13,398,0,0,2008,Jaroslav Halak2008,0
2008,8470860,2008,Jaroslav Halak,MTL,G,4on5,34,11500,20.66,16,330,14.31,16,35.94,30,168.49,166,0.62,1,101.43,91,54.45,75,19.21,183,23,27,4.17,2.65,13.84,1,2,13,97,0,0,2008,Jaroslav Halak2008,0
2008,8470860,2008,Jaroslav Halak,MTL,G,5on4,34,12720,3.85,5,58,1.68,1,4.52,8,34.43,35,5.9,1,10.28,9,24.67,22,3.82,30,12,4,0.87,1.7,1.29,1,1,3,12,0,0,2008,Jaroslav Halak2008,0
2008,8462055,2008,Marc Denis,MTL,G,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Marc Denis2008,0
2008,8462055,2008,Marc Denis,MTL,G,all,1,1200,0.57,1,9,0.41,0,1.3,0,6.79,7,0.28,0,3.49,3,3.02,5,0.55,6,3,0,0.21,0.35,0,1,0,0,0,0,0,2008,Marc Denis2008,0
2008,8462055,2008,Marc Denis,MTL,G,5on5,1,960,0.22,1,5,0.17,0,0.84,0,3.75,4,0.19,0,1.84,2,1.79,2,0.22,4,1,0,0.13,0.09,0,1,0,0,0,0,0,2008,Marc Denis2008,0
2008,8462055,2008,Marc Denis,MTL,G,4on5,1,120,0.33,0,3,0.22,0,0.34,0,2.31,2,0.02,0,1.44,1,0.61,2,0.31,1,2,0,0.06,0.27,0,0,0,0,0,0,0,2008,Marc Denis2008,0
2008,8462055,2008,Marc Denis,MTL,G,5on4,1,120,0.02,0,1,0.02,0,0.12,0,0.73,1,0.07,0,0.21,0,0.61,1,0.02,1,0,0,0.02,0,0,0,0,0,0,0,0,2008,Marc Denis2008,0
2008,8468489,2008,Brent Krahn,DAL,G,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Brent Krahn2008,0
2008,8468489,2008,Brent Krahn,DAL,G,all,1,1200,1.09,3,18,0.76,2,2.48,2,10.25,9,0.18,0,5.51,3,3.82,4,1.02,10,1,3,0.29,0.11,0.69,1,0,2,4,0,0,2008,Brent Krahn2008,0
2008,8468489,2008,Brent Krahn,DAL,G,5on5,1,1080,0.98,3,16,0.68,2,2.39,2,9.57,9,0.18,0,5.05,2,3.58,4,0.91,10,0,3,0.29,0,0.69,1,0,2,3,0,0,2008,Brent Krahn2008,0
2008,8468489,2008,Brent Krahn,DAL,G,4on5,1,120,0.11,0,2,0.08,0,0.1,0,0.68,0,0,0,0.46,1,0.24,0,0.11,0,1,0,0,0.11,0,0,0,0,1,0,0,2008,Brent Krahn2008,0
2008,8468489,2008,Brent Krahn,DAL,G,5on4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Brent Krahn2008,0
2009,8471251,2009,Justin Peters,CAR,G,other,9,945,2.89,1,32,1.22,1,3.83,1,18.91,14,0.77,3,9.27,8,7.18,13,2.79,9,12,4,0.22,1.47,1.21,0,0,1,7,0,0,2009,Justin Peters2009,0
2009,8471251,2009,Justin Peters,CAR,G,all,9,29280,27.37,23,475,18.41,29,60.98,55,271.25,241,7.89,10,143.34,110,111.2,142,26.57,263,76,31,7.58,9.11,10.68,7,6,10,105,0,0,2009,Justin Peters2009,0
2009,8471251,2009,Justin Peters,CAR,G,5on5,9,23016,16.86,14,365,12.87,20,48.01,48,205.04,184,5.67,5,110.65,85,87.03,107,16.31,214,52,16,6.34,6.28,4.23,6,6,2,83,0,0,2009,Justin Peters2009,0
2009,8471251,2009,Justin Peters,CAR,G,4on5,9,2457,6.33,7,67,3.8,7,7.89,5,38.64,35,0.14,0,21,16,11.72,15,6.2,35,8,9,0.86,0.83,4.64,1,0,6,15,0,0,2009,Justin Peters2009,0
2009,8471251,2009,Justin Peters,CAR,G,5on4,9,2862,1.29,1,11,0.52,1,1.25,1,8.65,8,1.32,2,2.41,1,5.28,7,1.26,5,4,2,0.16,0.53,0.6,0,0,1,0,0,0,2009,Justin Peters2009,0
2009,8470140,2009,Kari Lehtonen,DAL,G,other,12,1366,2.4,3,34,1.12,1,2.63,4,15.75,15,0.42,1,7.95,7,6.4,7,2.28,8,11,2,0.27,1.3,0.83,0,2,1,13,0,0,2009,Kari Lehtonen2009,0
2009,8470140,2009,Kari Lehtonen,DAL,G,all,12,38578,31.54,31,654,24.58,21,77.58,95,350.95,350,9.7,12,196.6,163,146.62,170,30.43,363,97,28,11.08,11.73,8.73,5,14,12,166,0,0,2009,Kari Lehtonen2009,0
2009,8470140,2009,Kari Lehtonen,DAL,G,5on5,12,28531,21.59,20,480,17.46,16,61.32,76,263.17,267,6.64,8,145.3,118,112.04,128,20.99,280,68,18,8.94,8.09,4.56,4,9,7,114,0,0,2009,Kari Lehtonen2009,0
2009,8470140,2009,Kari Lehtonen,DAL,G,4on5,12,4496,6.47,7,126,5.53,4,12.33,15,61.4,60,0.2,0,40.06,33,20.61,27,6.08,67,12,8,1.63,1.5,3.34,1,2,4,39,0,0,2009,Kari Lehtonen2009,0
2009,8470140,2009,Kari Lehtonen,DAL,G,5on4,12,4185,1.07,1,14,0.47,0,1.3,0,10.64,8,2.44,3,3.28,5,7.58,8,1.07,8,6,0,0.24,0.84,0,0,1,0,0,0,0,2009,Kari Lehtonen2009,0
2009,8470147,2009,Curtis McElhinney,ANA,G,other,20,2367,4.22,4,48,2.02,2,4.81,5,26.06,28,0.69,1,14.08,15,9.44,16,4.05,25,13,4,1.16,1.66,1.4,0,2,2,6,0,0,2009,Curtis McElhinney2009,0
2009,8470147,2009,Curtis McElhinney,ANA,G,all,20,61132,45.65,51,916,33.48,31,107.2,91,485.22,523,15.58,15,279.67,242,200.75,302,43.88,570,126,34,18.78,14.78,12.1,23,16,12,186,0,0,2009,Curtis McElhinney2009,0
2009,8470147,2009,Curtis McElhinney,ANA,G,5on5,20,47383,26.9,35,667,22.58,18,80.37,70,346.36,382,12.11,12,199.55,166,149.76,224,26.36,428,82,13,14.13,9.65,3.12,19,12,4,144,0,0,2009,Curtis McElhinney2009,0
2009,8470147,2009,Curtis McElhinney,ANA,G,4on5,20,6109,13.88,12,185,8.47,11,20.57,14,102.03,103,0.32,0,62.79,57,32.64,53,12.83,104,29,17,3.06,3.24,7.57,4,2,6,35,0,0,2009,Curtis McElhinney2009,0
2009,8470147,2009,Curtis McElhinney,ANA,G,5on4,20,5273,0.65,0,16,0.42,0,1.45,2,10.77,10,2.46,2,3.26,4,8.9,9,0.65,13,2,0,0.44,0.22,0,0,0,0,1,0,0,2009,Curtis McElhinney2009,0
2009,8468011,2009,Ryan Miller,BUF,G,other,69,8382,13.4,13,224,8.53,6,22.45,20,112.43,111,3.01,5,67.14,61,46.61,60,12.86,110,47,10,4.24,5.98,3.19,6,4,3,57,0,0,2009,Ryan Miller2009,0
2009,8468011,2009,Ryan Miller,BUF,G,all,69,241943,179.38,150,3715,139.69,118,446.64,467,2024.6,2098,63.65,75,1134.42,873,882.66,1217,173.26,2169,581,137,67.3,70.4,41.69,59,51,40,828,4,2,2009,Ryan Miller2009,0
2009,8468011,2009,Ryan Miller,BUF,G,5on5,69,190362,127.4,115,2819,100.84,82,352.35,374,1539.47,1598,49.41,61,854.5,633,669.73,928,123.84,1657,434,86,52.07,51.95,23.37,49,42,24,642,4,2,2009,Ryan Miller2009,0
2009,8468011,2009,Ryan Miller,BUF,G,4on5,69,21359,30.39,20,536,26.26,23,60.68,65,290.54,294,1.1,0,187.39,156,100.3,150,28.71,317,72,34,8.44,8.93,13.02,4,5,11,113,0,0,2009,Ryan Miller2009,0
2009,8468011,2009,Ryan Miller,BUF,G,5on4,69,21840,7.15,2,120,3.52,5,8.79,8,72.49,84,9.81,9,21.33,20,60.37,70,6.88,75,25,6,2.2,3.18,1.77,0,0,2,14,0,0,2009,Ryan Miller2009,0
2009,8462117,2009,Vesa Toskala,CGY,G,other,32,3273,5.63,6,66,3.01,3,6.92,5,36.85,31,1.06,1,21.13,25,12.01,9,5.32,35,6,9,1.28,0.76,3.59,1,1,4,16,0,0,2009,Vesa Toskala2009,0
2009,8462117,2009,Vesa Toskala,CGY,G,all,32,96297,77.94,93,1493,56.1,40,175.7,166,808.67,773,28.47,28,444.05,360,331.42,422,74.13,817,217,77,23.86,25.87,28.22,37,26,30,382,4,2,2009,Vesa Toskala2009,0
2009,8462117,2009,Vesa Toskala,CGY,G,5on5,32,75167,47.11,56,1125,38.58,25,135.44,132,596.02,573,22.93,23,326.24,244,254,338,45.63,627,156,37,18.58,18.64,9.89,31,16,9,305,4,2,2009,Vesa Toskala2009,0
2009,8462117,2009,Vesa Toskala,CGY,G,4on5,32,8781,22.72,28,261,13.4,12,30.19,26,152.37,141,0.7,0,89.11,83,47.37,58,20.71,134,46,28,3.4,5.4,13.92,4,8,16,53,0,0,2009,Vesa Toskala2009,0
2009,8462117,2009,Vesa Toskala,CGY,G,5on4,32,9076,2.13,2,34,0.9,0,2.34,2,19.81,24,3.64,4,5.66,7,16.43,15,2.13,18,7,3,0.46,0.86,0.81,1,0,1,6,0,0,2009,Vesa Toskala2009,0
2009,8475080,2009,Johan Backlund,PHI,G,other,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,Johan Backlund2009,0
2009,8475080,2009,Johan Backlund,PHI,G,all,1,2400,2.45,2,46,1.69,3,5.52,7,23.29,24,0.66,1,13.63,6,9.92,16,2.41,22,9,3,0.75,0.95,0.75,0,0,2,12,0,0,2009,Johan Backlund2009,0
2009,8475080,2009,Johan Backlund,PHI,G,5on5,1,1880,1.85,2,37,1.25,2,4.49,6,18.68,20,0.56,1,10.86,5,7.94,12,1.81,20,4,3,0.67,0.42,0.75,0,0,2,10,0,0,2009,Johan Backlund2009,0
2009,8475080,2009,Johan Backlund,PHI,G,4on5,1,360,0.52,0,8,0.38,1,0.94,0,3.87,3,0.02,0,2.52,1,1.48,4,0.52,2,4,0,0.08,0.44,0,0,0,0,2,0,0,2009,Johan Backlund2009,0
2009,8475080,2009,Johan Backlund,PHI,G,5on4,1,120,0.09,0,1,0.06,0,0.08,1,0.73,1,0.08,0,0.25,0,0.51,0,0.09,0,1,0,0,0.09,0,0,0,0,0,0,0,2009,Johan Backlund2009,0
2009,8470880,2009,Brian Elliott,OTT,G,other,55,5483,10.94,6,183,6.51,5,18.76,17,90.92,96,1.98,0,53.4,60,34.28,38,10.24,95,17,15,3.1,1.96,5.88,1,1,4,56,0,0,2009,Brian Elliott2009,0
2009,8470880,2009,Brian Elliott,OTT,G,all,55,182276,120.92,130,2657,95.74,103,316.71,312,1394.49,1424,45.98,44,779.83,620,583.04,722,117.16,1484,343,115,41.99,41.05,37.87,50,49,31,715,0,0,2009,Brian Elliott2009,0
2009,8470880,2009,Brian Elliott,OTT,G,5on5,55,143406,79.33,99,1919,65.85,76,241.53,221,1015.86,1019,35.56,34,562.47,425,427.61,545,77.58,1102,240,68,31.75,28.87,18.71,42,40,17,509,0,0,2009,Brian Elliott2009,0
2009,8470880,2009,Brian Elliott,OTT,G,4on5,55,17195,25.84,23,473,20.99,17,49.77,70,238.71,256,1.14,4,149.39,123,80.97,94,24.62,241,68,26,6.01,8.2,11.63,7,7,9,138,0,0,2009,Brian Elliott2009,0
2009,8470880,2009,Brian Elliott,OTT,G,5on4,55,16192,4.19,2,77,2.18,4,6.2,4,46.48,51,7.17,6,13.88,12,39.24,44,4.16,46,16,5,1.14,1.76,1.29,0,1,1,10,0,0,2009,Brian Elliott2009,0
2009,8467511,2009,Antero Niittymaki,T.B,G,other,49,6930,13.06,7,171,7.11,7,19.04,21,96.44,94,1.46,1,53.33,55,37.44,40,11.92,77,36,20,2.78,4.32,5.96,2,2,3,38,0,0,2009,Antero Niittymaki2009,0
2009,8467511,2009,Antero Niittymaki,T.B,G,all,49,159431,131.52,127,2501,98.63,104,299.92,285,1374.59,1388,37.23,27,764.87,634,577.99,724,124.44,1434,354,129,43.57,43.3,44.66,27,48,52,584,0,0,2009,Antero Niittymaki2009,0
2009,8467511,2009,Antero Niittymaki,T.B,G,5on5,49,117593,79.24,79,1786,64.41,65,222.89,215,971.42,973,26.14,15,540.54,449,420.48,520,77.02,1052,255,52,33.63,31.18,14.42,21,39,19,427,0,0,2009,Antero Niittymaki2009,0
2009,8467511,2009,Antero Niittymaki,T.B,G,4on5,49,17721,34.93,38,472,24.85,31,52.51,42,262.09,275,1.41,1,157.51,122,84.83,121,31.22,259,51,53,5.56,6.31,23.05,3,5,30,109,0,0,2009,Antero Niittymaki2009,0
2009,8467511,2009,Antero Niittymaki,T.B,G,5on4,49,17187,4.18,3,68,2.16,1,5.22,7,43.13,44,8.09,10,12.8,8,34.44,41,4.17,44,12,4,1.48,1.48,1.21,1,2,0,8,0,0,2009,Antero Niittymaki2009,0
2009,8470320,2009,Cam Ward,CAR,G,other,46,6163,12.86,13,146,6.7,8,16.07,11,85.53,86,1.91,3,47.37,44,30.22,38,12.11,64,37,15,1.92,4.8,6.15,2,3,8,30,0,0,2009,Cam Ward2009,11
2009,8470320,2009,Cam Ward,CAR,G,all,46,155176,137.86,117,2509,99.12,110,301.61,266,1384.42,1371,38.91,34,752.99,645,562.47,713,132.67,1326,447,126,41.17,53.95,42.73,32,43,42,610,0,0,2009,Cam Ward2009,11
2009,8470320,2009,Cam Ward,CAR,G,5on5,46,117801,89.89,74,1853,69.13,79,231.36,208,1021.56,997,29.49,25,552.19,464,421.09,539,87.16,1001,322,73,31.88,38.91,19.09,25,33,16,457,0,0,2009,Cam Ward2009,11
2009,8470320,2009,Cam Ward,CAR,G,4on5,46,16749,30.35,26,433,20.93,18,47.83,42,230.94,240,1.25,0,138.14,123,76.29,101,28.81,216,72,34,5.84,8.26,16.24,3,6,17,111,0,0,2009,Cam Ward2009,11
2009,8470320,2009,Cam Ward,CAR,G,5on4,46,14463,3.03,4,62,1.67,3,4.61,3,36.66,40,6.15,6,11.38,12,31.22,30,2.97,41,11,1,1.39,1.34,0.3,2,1,1,9,0,0,2009,Cam Ward2009,11
2009,8460712,2009,Tomas Vokoun,FLA,G,other,63,7328,12.04,8,220,8.29,6,23.72,26,116.39,112,2.48,0,65.4,67,48.73,50,10.59,119,31,12,3.87,3.56,4.6,4,1,3,58,0,0,2009,Tomas Vokoun2009,0
2009,8460712,2009,Tomas Vokoun,FLA,G,all,63,221701,180.26,157,3862,139.18,150,450.49,466,2036.47,2082,54.91,47,1132.41,897,868.32,1106,173.51,2197,465,174,64.72,54.65,60.9,49,37,71,1026,0,0,2009,Tomas Vokoun2009,0
