Year,playerId,season,Name,Team,position,Situation,GP,TOI,XGA,GA,UnblockedSA,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,Year,NameYear,Votes
2008,8473607,2008,Michal Neuvirth,WSH,G,5on5,5,10232,4.44,6,120,4.06,6,15.55,17,62.87,71,3.35,3,35.04,27,26.71,32,4.36,74,13,1,2.58,1.53,0.33,4,1,1,32,0,0,2008,Michal Neuvirth2008,0
2008,8473607,2008,Michal Neuvirth,WSH,G,4on5,5,1616,2.46,2,41,2,1,4.4,5,20.64,21,0.15,0,13.1,11,6.2,7,2.26,22,3,4,0.29,0.41,1.76,0,0,2,12,0,0,2008,Michal Neuvirth2008,0
2008,8473607,2008,Michal Neuvirth,WSH,G,5on4,5,1238,0.94,3,15,0.48,0,1.43,1,9.36,8,0.71,0,2.75,1,7.12,8,0.94,9,3,1,0.24,0.41,0.29,1,2,0,2,0,0,2008,Michal Neuvirth2008,0
2008,8471469,2008,Pekka Rinne,NSH,G,other,52,4642,10.49,15,151,5.89,5,13.64,15,74.72,91,1.48,1,46.23,46,25.82,29,10.09,76,23,13,2.93,2.84,4.71,3,7,5,39,0,0,2008,Pekka Rinne2008,0
2008,8471469,2008,Pekka Rinne,NSH,G,all,52,178752,117.1,119,2553,92.7,89,312.96,400,1390.6,1435,44.3,57,780.05,595,596.23,704,113.58,1512,337,103,44.37,40.63,32.1,41,45,33,601,6,3,2008,Pekka Rinne2008,0
2008,8471469,2008,Pekka Rinne,NSH,G,5on5,52,142070,86.35,82,2030,70.27,69,259.43,339,1111.83,1139,35.7,47,618.36,464,484.27,561,83.85,1232,256,66,36.53,30.64,19.18,34,32,16,476,6,3,2008,Pekka Rinne2008,0
2008,8471469,2008,Pekka Rinne,NSH,G,4on5,52,15761,15.54,16,302,14.24,11,33.86,40,160.75,154,1.07,2,100.1,70,55.72,84,15.03,162,48,15,3.88,5.91,5.75,3,4,9,77,0,0,2008,Pekka Rinne2008,0
2008,8471469,2008,Pekka Rinne,NSH,G,5on4,52,16279,3.74,5,50,1.68,4,4.26,4,33.64,39,5.72,7,9.89,8,25.51,25,3.64,30,9,7,0.75,1.16,1.83,0,2,3,4,0,0,2008,Pekka Rinne2008,0
2008,8462117,2008,Vesa Toskala,TOR,G,other,52,4985,10.55,17,179,5.91,6,18.96,16,90.43,99,2.78,6,47.76,49,38.54,45,10.23,98,24,12,3.57,2.75,4.22,8,2,7,45,0,0,2008,Vesa Toskala2008,0
2008,8462117,2008,Vesa Toskala,TOR,G,all,52,177444,145.33,163,2940,104.26,81,338.42,307,1533.72,1496,51.18,56,842.76,748,653.57,788,139.07,1594,416,137,46.97,50.35,48,56,49,58,793,2,1,2008,Vesa Toskala2008,0
2008,8462117,2008,Vesa Toskala,TOR,G,5on5,52,137610,93.79,101,2176,73.18,57,261.03,222,1134.3,1086,38.47,44,621.87,549,491.52,609,90.52,1193,315,72,35.41,38.12,20.25,43,39,19,596,0,0,2008,Vesa Toskala2008,0
2008,8462117,2008,Vesa Toskala,TOR,G,4on5,52,16757,36.41,39,507,23,14,51.9,64,260.9,257,0.77,1,158.83,133,82.42,99,33.87,248,68,47,6.49,8.25,21.68,4,5,30,144,2,1,2008,Vesa Toskala2008,0
2008,8462117,2008,Vesa Toskala,TOR,G,5on4,52,18092,4.16,6,71,1.95,4,5.49,4,43.62,49,9.03,5,12.34,14,38.84,33,4.05,50,8,6,1.25,1.07,1.85,1,3,2,7,0,0,2008,Vesa Toskala2008,0
2008,8473632,2008,Josh Tordjman,ARI,G,other,2,268,0.57,1,6,0.27,1,0.75,1,3.24,4,0.26,0,1.27,0,1.02,1,0.53,1,2,1,0.05,0.22,0.3,0,0,1,2,0,0,2008,Josh Tordjman2008,0
2008,8473632,2008,Josh Tordjman,ARI,G,all,2,7062,4.87,8,109,3.57,4,12.45,10,54.58,62,2.33,3,29.37,22,23.98,29,4.79,59,12,5,1.97,1.58,1.33,3,3,2,33,0,0,2008,Josh Tordjman2008,0
2008,8473632,2008,Josh Tordjman,ARI,G,5on5,2,5785,3.56,7,93,2.89,3,10.64,8,45.72,52,1.4,3,25.79,21,19.65,22,3.51,52,10,2,1.67,1.36,0.53,3,3,1,29,0,0,2008,Josh Tordjman2008,0
2008,8473632,2008,Josh Tordjman,ARI,G,4on5,2,336,0.42,0,5,0.27,0,0.8,1,3.04,3,0,0,1.58,0,0.83,3,0.42,3,0,1,0.16,0,0.27,0,0,0,1,0,0,2008,Josh Tordjman2008,0
2008,8473632,2008,Josh Tordjman,ARI,G,5on4,2,673,0.32,0,5,0.14,0,0.26,0,2.58,3,0.67,0,0.73,1,2.48,3,0.32,3,0,1,0.08,0,0.24,0,0,0,1,0,0,2008,Josh Tordjman2008,0
2008,8467391,2008,Jason LaBarbera,VAN,G,other,27,2255,4.8,4,71,2.69,4,7.84,11,39.35,41,1.29,1,21.55,21,16.89,15,4.7,43,9,5,1.61,1.22,1.97,1,1,2,14,0,0,2008,Jason LaBarbera2008,0
2008,8467391,2008,Jason LaBarbera,VAN,G,all,27,85293,59.31,66,1210,47.4,55,157.18,147,685.39,665,21.93,24,385.48,322,287.9,360,56.36,756,145,60,21.84,17.57,19.9,21,24,21,249,2,1,2008,Jason LaBarbera2008,0
2008,8467391,2008,Jason LaBarbera,VAN,G,5on5,27,63907,37.85,44,887,32.3,35,120.51,112,499.09,490,15.76,21,280.82,236,214.58,267,36.89,567,101,34,16.79,12.12,8.95,18,18,8,185,2,1,2008,Jason LaBarbera2008,0
2008,8467391,2008,Jason LaBarbera,VAN,G,4on5,27,9981,14.11,14,218,11.3,14,25.65,23,125.77,115,0.62,0,76.63,61,42.33,61,12.37,126,31,17,2.74,3.66,7.71,0,4,10,44,0,0,2008,Jason LaBarbera2008,0
2008,8467391,2008,Jason LaBarbera,VAN,G,5on4,27,9150,1.92,4,28,0.88,2,2.63,0,17.94,18,4,2,5.26,3,12.79,15,1.78,19,2,3,0.67,0.29,0.97,2,1,1,4,0,0,2008,Jason LaBarbera2008,0
2008,8471305,2008,Daniel Lacosta,CBJ,G,other,3,188,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Daniel Lacosta2008,0
